Category: All categories

Month,Immigration: (United States)
2011-01,32
2011-02,36
2011-03,32
2011-04,33
2011-05,36
2011-06,39
2011-07,31
2011-08,32
2011-09,30
2011-10,35
2011-11,28
2011-12,28
2012-01,28
2012-02,26
2012-03,21
2012-04,26
2012-05,21
2012-06,36
2012-07,20
2012-08,19
2012-09,14
2012-10,13
2012-11,26
2012-12,20
2013-01,39
2013-02,52
2013-03,44
2013-04,87
2013-05,63
2013-06,80
2013-07,65
2013-08,39
2013-09,36
2013-10,46
2013-11,51
2013-12,33
2014-01,44
2014-02,52
2014-03,30
2014-04,35
2014-05,38
2014-06,41
2014-07,66
2014-08,43
2014-09,33
2014-10,25
2014-11,100
2014-12,37
2015-01,28
2015-02,33
2015-03,31
2015-04,26
2015-05,27
2015-06,21
2015-07,26
2015-08,21
2015-09,22
2015-10,20
2015-11,19
2015-12,17
2016-01,23
2016-02,12
2016-03,10
2016-04,15
2016-05,14
2016-06,19
2016-07,10
2016-08,11
2016-09,11
2016-10,10
2016-11,19
2016-12,14
2017-01,31
2017-02,60
2017-03,45
2017-04,28
2017-05,22
2017-06,18
2017-07,22
2017-08,25
2017-09,21
2017-10,21
2017-11,18
2017-12,19
2018-01,40
2018-02,35
2018-03,26
2018-04,23
2018-05,24
2018-06,52
2018-07,30
2018-08,26
2018-09,17
2018-10,23
2018-11,27
2018-12,19
